price,latitude,longitude,bedrooms,bathrooms,livingArea,lotSize,hasPrivatePool,garageParkingCapacity,yearBuilt,is_FSBA,is_FSBO,is_foreclosure,is_newHome,level_One,level_Split,level_Three Or More,level_Two,level_Unknown,homeType_CONDO,homeType_LOT,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,homeType_Unknown
1250000,45.63977,-111.03543,5.0,4.0,3149.0,16531.0,,2.0,1974.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1389000,45.69739,-111.0969,5.0,3.0,3294.0,9931.0,,3.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1925000,45.678207,-111.00513,3.0,4.0,3344.0,553647.0,,3.0,2018.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
559000,45.67637,-111.08602,4.0,2.0,1565.0,6708.0,,2.0,1998.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3850000,45.66719,-111.205666,4.0,3.0,3456.0,194626.0,,4.0,1983.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3195000,45.5827,-111.09542,4.0,5.0,3922.0,43647.0,,3.0,2020.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1750000,45.757095,-111.06324,4.0,3.0,3452.0,62508.0,,4.0,2003.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
899000,45.73559,-111.135574,3.0,2.0,2695.0,28314.0,,2.0,1985.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
289900,45.743668,-111.18064,4.0,2.0,1414.0,,,1.0,2025.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1950000,46.0139,-110.526375,1.0,1.0,1450.0,1079199.0,,2.0,2014.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
865000,45.698895,-111.08327,4.0,3.0,1834.0,8280.0,,2.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1295000,45.731514,-111.062965,4.0,3.0,2627.0,15245.0,,3.0,1991.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1149000,45.64137,-110.806984,3.0,3.0,2560.0,1052627.0,,2.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7495000,45.714832,-110.887596,3.0,4.0,4142.0,1822986.0,,3.0,2021.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
189000,45.720432,-111.0983,3.0,2.0,1512.0,10890.0,,,1981.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1400000,45.64268,-111.04408,4.0,3.0,3754.0,11586.0,,3.0,2001.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1175000,45.58708,-111.100235,5.0,4.0,3728.0,53056.0,,2.0,1999.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1298000,45.704117,-111.004135,3.0,3.0,2783.0,13050.0,,2.0,2013.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1199000,45.653538,-111.00036,4.0,4.0,2099.0,43734.0,,3.0,1985.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1599000,45.757095,-111.06324,5.0,4.0,3452.0,62508.0,,3.0,1991.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3300000,45.578854,-111.09625,3.0,2.0,3192.0,43995.0,,2.0,1974.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
669000,45.73082,-111.13773,4.0,2.0,1288.0,23870.0,,2.0,1976.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
649000,45.6893,-111.05727,3.0,3.0,2139.0,5649.0,,1.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1625000,45.653538,-111.00036,4.0,2.0,2099.0,43734.0,,2.0,1976.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
769000,45.70445,-111.09269,3.0,2.0,2399.0,4791.0,,2.0,2016.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
640000,45.67352,-111.05619,3.0,2.0,2076.0,7379.0,,2.0,1975.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
619000,45.663937,-111.137764,2.0,2.0,1803.0,7723.0,,2.0,2016.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1849900,45.62141,-111.07251,4.0,3.0,3573.0,73790.0,,3.0,1980.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74995,45.69101,-111.057655,3.0,3.0,954.0,,,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11200000,45.62611,-111.01804,4.0,6.0,5252.0,998395.0,,2.0,2021.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4997000,45.62611,-111.01804,6.0,5.0,5252.0,998395.0,,3.0,2018.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
185000,45.67508,-111.20871,3.0,2.0,1344.0,3000.0,,,2025.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1750000,45.59646,-110.798164,4.0,3.0,3240.0,1185006.0,,0.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
415000,45.672344,-111.06641,2.0,2.0,1343.0,,,0.0,1865.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17500000,45.753105,-110.900925,7.0,5.0,5396.0,9812761.0,,3.0,1989.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
139995,45.72,-111.09349,3.0,2.0,1216.0,,,0.0,1996.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
899900,45.757156,-111.06528,2.0,2.0,1736.0,58806.0,,2.0,2015.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11000000,45.753105,-110.900925,3.0,3.0,5396.0,9812761.0,,3.0,1984.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3525000,45.578854,-111.09625,4.0,5.0,3192.0,43995.0,,5.0,2018.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2099000,45.62141,-111.07251,3.0,4.0,3573.0,73790.0,,3.0,2016.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1000000,45.66051,-111.02239,4.0,3.0,3054.0,12632.0,,2.0,1964.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1199000,45.674095,-111.16548,5.0,3.0,2481.0,12196.0,,2.0,1979.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1950000,45.79674,-111.081024,3.0,3.0,4203.0,217800.0,,5.0,1988.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6600000,45.746964,-111.02323,3.0,3.0,4123.0,1517630.0,,3.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1875000,45.631645,-111.02221,4.0,4.0,3084.0,89907.0,,3.0,1998.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1100000,45.636818,-110.83498,3.0,2.0,2400.0,245678.0,,4.0,2003.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13725000,45.753105,-110.900925,4.0,6.0,5396.0,9812761.0,,3.0,2010.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
515000,45.67884,-111.09085,4.0,3.0,1659.0,,,1.0,2009.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
350000,45.67174,-111.06718,2.0,2.0,1043.0,,,1.0,2007.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1795000,45.646423,-110.80919,4.0,3.0,3538.0,881131.0,,2.0,1994.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1950000,45.657738,-111.11307,3.0,2.0,1926.0,435600.0,,3.0,2014.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2700000,45.678207,-111.00513,4.0,4.0,3344.0,553647.0,,1.0,1936.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
750000,45.649506,-111.0736,3.0,4.0,2182.0,,,1.0,2023.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
899900,45.734154,-111.13711,4.0,2.0,2065.0,20124.0,,2.0,1999.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
685000,45.683334,-111.192505,4.0,2.0,1630.0,7535.0,,2.0,2014.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
572500,45.6852,-111.09038,2.0,2.0,1270.0,9365.0,,1.0,2016.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
865000,45.6529,-111.19319,4.0,3.0,1508.0,39204.0,,2.0,1979.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1250000,45.71688,-111.190544,4.0,2.0,2345.0,22259.0,,3.0,2020.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1075000,45.69745,-111.08791,4.0,4.0,2851.0,14592.0,,2.0,2021.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2250000,45.684265,-111.17313,4.0,4.0,3463.0,95832.0,,3.0,2015.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3495000,45.669666,-111.03915,5.0,4.0,3661.0,13503.0,,2.0,1899.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1475000,45.698605,-111.16185,5.0,4.0,3223.0,9509.0,,3.0,2025.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1750000,45.646423,-110.80919,3.0,3.0,3538.0,881131.0,,,2023.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1089000,45.679436,-111.09982,5.0,4.0,2230.0,8276.0,,2.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1090000,45.64137,-110.806984,4.0,3.0,2560.0,1052627.0,,1.0,1975.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
765000,45.698895,-111.08327,3.0,3.0,1834.0,8280.0,,1.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1550000,45.678207,-111.00513,6.0,4.0,3344.0,553647.0,,,1930.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
599000,45.666546,-111.13316,3.0,2.0,1292.0,6651.0,,2.0,2015.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3489750,45.655075,-110.81234,5.0,5.0,5933.0,442526.0,,5.0,1990.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2595000,45.67144,-110.93559,6.0,5.0,6187.0,486129.0,,3.0,1986.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1200000,45.72506,-111.193985,4.0,4.0,1944.0,36721.0,,3.0,2019.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1495000,45.716717,-111.195015,5.0,4.0,3274.0,98271.0,,2.0,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
675000,45.67808,-111.11806,3.0,3.0,1785.0,5902.0,,2.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
589000,45.693207,-111.15494,,,,40423.0,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
395000,45.67564,-111.061226,3.0,2.0,1149.0,,,0.0,1978.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
445000,45.67138,-111.03102,2.0,2.0,880.0,,,2.0,1983.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
475000,45.69541,-111.08042,2.0,2.0,1183.0,,,1.0,2017.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1195000,45.674095,-111.16548,4.0,3.0,2481.0,12196.0,,2.0,2013.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2645000,45.601395,-111.07181,5.0,6.0,6393.0,44082.0,,3.0,2024.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2100000,45.671886,-110.77774,3.0,1.0,2801.0,871200.0,,3.0,1993.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2120000,45.678207,-111.00513,5.0,4.0,3344.0,553647.0,,2.0,1900.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2999000,45.68875,-111.152405,4.0,4.0,4131.0,15376.0,,3.0,2022.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2649000,45.638588,-110.82638,4.0,5.0,4300.0,474716.0,,3.0,2001.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
625000,45.680862,-111.09669,3.0,2.0,1528.0,3497.0,,2.0,2006.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
465000,45.66571,-111.03793,2.0,2.0,1200.0,,,0.0,1985.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
410000,45.695423,-111.07988,2.0,2.0,1183.0,,,1.0,2007.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000000,45.678207,-111.00513,4.0,2.0,3344.0,553647.0,,0.0,1880.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1562500,45.731514,-111.062965,4.0,3.0,2627.0,15245.0,,3.0,1990.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4200000,45.555073,-111.116,4.0,4.0,4130.0,1577307.0,,4.0,2020.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1199000,45.68435,-111.10181,4.0,3.0,3092.0,9583.0,,3.0,2013.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
600000,45.680862,-111.09669,3.0,2.0,1528.0,3497.0,,2.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3750000,45.630978,-111.12275,4.0,4.0,3450.0,957013.0,,6.0,1998.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
910000,45.72054,-111.18802,4.0,3.0,2580.0,21823.0,,3.0,2020.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5995000,45.80225,-110.882576,5.0,6.0,4497.0,880347.0,,3.0,2022.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
170000,45.66715,-111.12426,3.0,2.0,1792.0,,,0.0,1996.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1450000,45.713547,-111.19695,3.0,3.0,3664.0,130680.0,,2.0,1992.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
629000,45.67637,-111.08602,3.0,3.0,1565.0,6708.0,,1.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
834000,45.651897,-111.04071,4.0,3.0,3357.0,12980.0,,0.0,1978.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
49995,,,2.0,1.0,,,,0.0,1985.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
885000,45.681232,-111.027,3.0,2.0,1649.0,8398.0,,2.0,1996.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
440000,45.67564,-111.061226,2.0,2.0,1149.0,,,0.0,2020.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
320000,45.67174,-111.06718,2.0,1.0,1043.0,,,0.0,1973.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
799000,45.698895,-111.08327,3.0,2.0,1834.0,8280.0,,2.0,2022.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
825000,45.67352,-111.05619,5.0,2.0,2076.0,7379.0,,2.0,1958.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1795000,45.678207,-111.00513,5.0,5.0,3344.0,553647.0,,2.0,2024.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
79995,45.666206,-111.124245,3.0,1.0,924.0,,,1.0,1972.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1799900,45.62141,-111.07251,5.0,7.0,3573.0,73790.0,,2.0,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1795000,45.631645,-111.02221,3.0,2.0,3084.0,89907.0,,4.0,1890.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
934000,45.671474,-111.00416,5.0,3.0,4925.0,46347.0,,2.0,1994.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
470000,45.690483,-111.11821,3.0,3.0,1574.0,,,2.0,2008.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
669000,45.666546,-111.13316,3.0,2.0,1292.0,6651.0,,2.0,2004.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
495000,45.673367,-111.08791,3.0,2.0,1413.0,6817.0,,2.0,1996.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1995000,45.678207,-111.00513,4.0,3.0,3344.0,553647.0,,3.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
975000,45.68759,-111.11148,4.0,4.0,2443.0,7644.0,,2.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
645000,45.666546,-111.13316,3.0,3.0,1292.0,6651.0,,2.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
810000,45.686398,-111.087265,4.0,2.0,3328.0,10497.0,,2.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1450000,45.68241,-111.03608,3.0,4.0,2153.0,2334.0,,2.0,2016.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
244000,45.740025,-111.1815,3.0,2.0,1493.0,4823.0,,0.0,2024.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
799000,45.670635,-111.04563,3.0,2.0,1968.0,6446.0,,2.0,1991.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
829000,45.672203,-111.05619,4.0,3.0,2346.0,7871.0,,2.0,1955.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
479900,45.643333,-111.06322,2.0,2.0,1300.0,,,1.0,2023.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1090000,45.649483,-111.07799,3.0,3.0,2048.0,6163.0,,2.0,2021.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
620000,45.707165,-111.08008,3.0,3.0,1933.0,2922.0,,2.0,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1080000,45.678997,-111.0308,3.0,3.0,1195.0,,,2.0,2006.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
466000,45.643333,-111.06322,2.0,2.0,1300.0,,,1.0,2015.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1249000,45.745308,-111.172356,3.0,3.0,2500.0,227383.0,,2.0,2004.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
750000,45.68287,-111.021736,1.0,1.0,1138.0,,,1.0,2020.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
689000,45.67352,-111.05619,4.0,3.0,2076.0,7379.0,,1.0,1967.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
859900,45.73559,-111.135574,4.0,3.0,2695.0,28314.0,,3.0,2003.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
619900,45.683334,-111.192505,3.0,2.0,1630.0,7535.0,,2.0,2009.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4200000,45.624718,-110.97349,3.0,3.0,4838.0,871200.0,,2.0,1989.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2999000,45.638588,-110.82638,3.0,4.0,4300.0,474716.0,,6.0,2000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
850000,45.704426,-111.09445,3.0,2.0,1724.0,6560.0,,2.0,2020.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
960000,45.66053,-111.01563,5.0,7.0,3795.0,8999.0,,5.0,1978.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
435000,45.70871,-111.07463,3.0,2.0,1472.0,,,2.0,2016.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
490000,45.675625,-111.083694,3.0,2.0,1424.0,3319.0,,1.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
675000,45.676395,-111.078064,4.0,3.0,1427.0,10815.0,,2.0,2002.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
780000,45.672203,-111.05619,4.0,2.0,2346.0,7871.0,,1.0,1920.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1550000,45.68212,-111.03609,3.0,3.0,2306.0,3223.0,,1.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1050000,45.643486,-111.046646,5.0,4.0,3782.0,10585.0,,2.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
995000,45.678997,-111.0308,2.0,3.0,1195.0,,,1.0,2020.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
339900,45.673405,-111.08421,2.0,1.0,936.0,,,0.0,2007.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1599000,45.757095,-111.06324,6.0,4.0,3452.0,62508.0,,2.0,2000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1295000,45.69739,-111.0969,4.0,3.0,3294.0,9931.0,,4.0,2020.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
464000,45.67782,-111.0565,2.0,3.0,1512.0,,,1.0,1986.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
849000,45.867607,-110.8478,,,,1483479.0,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4250000,45.60688,-110.98604,3.0,5.0,4816.0,871200.0,,3.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
183900,45.743668,-111.18064,2.0,2.0,910.0,,,0.0,2024.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1489000,45.696877,-111.09686,4.0,4.0,2808.0,12353.0,,2.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1599000,45.68212,-111.03609,3.0,4.0,2306.0,3223.0,,2.0,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1800000,45.694664,-111.095436,4.0,4.0,2842.0,7405.0,,2.0,2026.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1245000,45.674095,-111.16548,5.0,3.0,2481.0,12196.0,,3.0,2013.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
525000,45.67143,-111.03094,1.0,1.0,880.0,,,0.0,2020.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
775000,45.672203,-111.05619,5.0,3.0,2346.0,7871.0,,1.0,1955.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
665000,45.68029,-111.08878,3.0,2.0,1684.0,10890.0,,2.0,2002.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
609900,45.691833,-111.11834,3.0,3.0,2015.0,,,2.0,2005.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
690000,45.683334,-111.192505,3.0,2.0,1630.0,7535.0,,2.0,2007.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3250000,45.692245,-111.1602,5.0,5.0,3643.0,29185.0,,3.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
639500,45.683334,-111.192505,3.0,2.0,1630.0,7535.0,,3.0,2014.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1880000,45.568344,-111.12086,3.0,2.0,1912.0,175546.0,,2.0,2002.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1950000,45.678207,-111.00513,4.0,4.0,3344.0,553647.0,,4.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3895000,45.80225,-110.882576,5.0,6.0,4497.0,880347.0,,3.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2695000,45.76623,-111.11295,2.0,3.0,1708.0,963808.0,,3.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
315000,45.67174,-111.06718,2.0,2.0,1043.0,,,0.0,2006.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
695000,45.663937,-111.137764,3.0,3.0,1803.0,7723.0,,2.0,2016.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
465000,45.71271,-111.08211,3.0,3.0,1419.0,,,2.0,2014.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
634900,45.6529,-111.19319,5.0,2.0,1508.0,39204.0,,0.0,1998.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1950000,45.568344,-111.12086,2.0,1.0,1912.0,175546.0,,3.0,1920.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1575000,45.631645,-111.02221,5.0,3.0,3084.0,89907.0,,2.0,1965.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
640000,45.70377,-111.0747,3.0,3.0,1908.0,3341.0,,2.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
